Year,st,State,Gini
1932,23,Michigan,0.431166947
1932,24,Minnesota,0.432892472
1932,25,Mississippi,0.366222531
1932,26,Missouri,0.431390136
1932,27,Montana,0.342587829
1932,28,Nebraska,0.3924613
1932,29,Nevada,0.392453611
1932,30,New Hampshire,0.432052493
1932,31,New Jersey,0.438912988
1932,32,New Mexico,0.335042894
1932,33,New York,0.490241945
1932,34,North Carolina,0.477958351
1932,35,North Dakota,0.326501846
1932,36,Ohio,0.42648533
1932,37,Oklahoma,0.389790744
1932,38,Oregon,0.375108331
1932,39,Pennsylvania,0.463494837
1932,40,Rhode Island,0.486564547
1932,41,South Carolina,0.375262618
1932,42,South Dakota,0.359679699
1932,43,Tennessee,0.393704027
1932,44,Texas,0.397041887
1932,45,Utah,0.395963609
1932,46,Vermont,0.382228225
1932,47,Virginia,0.396395057
1932,48,Washington,0.351647258
1932,49,West Virginia,0.378794253
1932,50,Wisconsin,0.431135982
1932,51,Wyoming,0.337531179
1933,0,United States,0.463353902
1933,1,Alabama,0.398552537
1933,3,Arizona,0.346323311
1933,4,Arkansas,0.359029442
1933,5,California,0.437937617
1933,6,Colorado,0.437274456
1933,7,Connecticut,0.494554311
1933,8,Delaware,0.643275857
1933,9,District of Columbia,0.378794134
1933,10,Florida,0.457587749
1933,11,Georgia,0.414110184
1933,13,Idaho,0.312076062
1933,14,Illinois,0.467040062
1933,15,Indiana,0.414869219
1933,16,Iowa,0.391071767
1933,17,Kansas,0.399078697
1933,18,Kentucky,0.429316819
1933,19,Louisiana,0.383936077
1933,20,Maine,0.458455086
1933,21,Maryland,0.452638417
1933,22,Massachusetts,0.471371979
1933,23,Michigan,0.428236395
1933,24,Minnesota,0.441603899
1933,25,Mississippi,0.389105439
1933,26,Missouri,0.440327764
1933,27,Montana,0.331088781
1933,28,Nebraska,0.401952475
1933,29,Nevada,0.414616048
1933,30,New Hampshire,0.449388415
1933,31,New Jersey,0.450145364
1933,32,New Mexico,0.334694296
1933,33,New York,0.528925419
1933,34,North Carolina,0.454524636
1933,35,North Dakota,0.337777197
1933,36,Ohio,0.437803239
1933,37,Oklahoma,0.408882499
1933,38,Oregon,0.354194283
1933,39,Pennsylvania,0.465368718
1933,40,Rhode Island,0.496753454
1933,41,South Carolina,0.386907816
1933,42,South Dakota,0.380686998
1933,43,Tennessee,0.409288764
1933,44,Texas,0.405548513
1933,45,Utah,0.393603802
1933,46,Vermont,0.371023953
1933,47,Virginia,0.406090349
1933,48,Washington,0.344861478
1933,49,West Virginia,0.396140903
1933,50,Wisconsin,0.438433945
1933,51,Wyoming,0.386664122
1934,0,United States,0.455628902
1934,1,Alabama,0.389760524
